Result_Id,Player,Character,Matches_Won,Outcome
160,GRPT|MOV,Chun-Li,0,Lost
161,DNG|John,Cody,2,Won
161,Akira,Cammy,1,Lost
162,BST|Fuudo,Poison,3,Won
162,SNB|Higuchi,Guile,2,Lost
163,SNB|Fujimura,Cammy,2,Won
163,YHC-Mochi,Dhalsim,0,Lost
164,Victrix|Momochi,Akira,2,Won
164,BST|Daigo,Guile,1,Lost
165,G8S|Pugera,Balrog,3,Won
165,GyoGun|Mago,Akira,2,Lost
166,RB|Gachikun,Rashid,2,Won
166,GyoGun|Machabo,Cammy,0,Lost
167,AZ|Kichipa-mu,Zangief,2,Won
167,GyoGun|Mizuha,Kolin,0,Lost
